City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
mount gambier,-37.8333,140.7667,15.74,52,76,2.7,AU,1699832957
dudinka,69.4058,86.1778,-0.74,98,100,7.6,RU,1699833012
mont-dore,-22.2833,166.5833,26.99,55,92,6.86,NC,1699833240
al fuwayliq,26.4432,43.2534,21.7,32,99,3.2,SA,1699833240
ji'an,27.1172,114.9793,9.18,72,100,4.42,CN,1699833240
lisala,2.15,21.5167,20.39,100,53,0.72,CD,1699833240
juegang,32.3174,121.1855,6.58,60,79,5.78,CN,1699833240
keflavik,64.0049,-22.5624,3.95,70,0,6.17,IS,1699833045
west island,-12.1568,96.8225,25.99,89,40,3.6,CC,1699833241
ouadda,8.0777,22.4007,20.12,96,74,0.71,CF,1699833241
bismarck,46.8083,-100.7837,11.91,46,0,6.69,US,1699833031
petropavlovsk-kamchatsky,53.0452,158.6483,-1.67,74,75,12.52,RU,1699833098
sakaiminato,35.55,133.2333,5.99,100,100,4.12,JP,1699832948
yellowknife,62.456,-114.3525,-7.55,97,100,9.26,CA,1699833241
bilibino,68.0546,166.4372,-12.69,96,100,1.95,RU,1699833242
beyneu,45.3167,55.2,5.82,62,45,7.22,KZ,1699833242
khovd,48.0056,91.6419,-5.4,92,99,0.49,MN,1699833122
porbandar,21.6422,69.6093,25.41,28,88,4.22,IN,1699833243
nar'yan-mar,67.6713,53.087,-11.61,94,51,2.24,RU,1699833243
puerto baquerizo moreno,-0.9,-89.6,23.82,82,49,5.37,EC,1699833243
calabozo,8.9242,-67.4293,28.4,64,100,2.09,VE,1699833244
garissa,-0.4536,39.6401,25.48,86,100,3.36,KE,1699833244
sao raimundo das mangabeiras,-7.0219,-45.4811,29.0,31,35,1.68,BR,1699833244
tocopilla,-22.092,-70.1979,17.67,77,14,5.22,CL,1699833083
mmabatho,-25.85,25.6333,17.98,59,0,3.09,ZA,1699833245
masterton,-40.9597,175.6575,15.49,56,63,6.23,NZ,1699833245
dadiya,9.6167,11.4333,28.0,38,60,1.1,NG,1699833245
djibo,14.1022,-1.6306,26.83,10,96,4.17,BF,1699833246
port mathurin,-19.6833,63.4167,25.26,78,2,2.36,MU,1699833246
kilindoni,-7.9139,39.6668,26.4,81,88,1.56,TZ,1699833246
spearfish,44.4908,-103.8594,12.49,28,0,2.57,US,1699833247
yuzhno-kurilsk,44.0306,145.8556,2.43,80,62,3.42,RU,1699833247
constantia,44.1833,28.65,7.61,49,96,2.86,RO,1699833246
tazovsky,67.4667,78.7,-10.65,95,91,5.16,RU,1699833247
lorengau,-2.0226,147.2712,29.19,64,72,1.75,PG,1699833248
itaqui,-29.1253,-56.5531,22.78,94,62,6.05,BR,1699833248
olonkinbyen,70.9221,-8.7187,-3.36,67,99,2.25,SJ,1699833248
san antonio de pale,-1.4014,5.6325,26.26,84,63,6.08,GQ,1699833249
namibe,-15.1961,12.1522,22.08,78,84,1.47,AO,1699833249
savanna-la-mar,18.219,-78.1332,28.97,89,26,2.31,JM,1699833249
kuragino,53.8975,92.6725,-7.36,89,97,1.52,RU,1699833250
qaqortoq,60.7167,-46.0333,-7.81,87,9,0.5,GL,1699833250
ringkobing,56.0901,8.244,2.23,85,100,2.85,DK,1699833250
hamilton,39.1834,-84.5333,10.69,60,0,1.54,US,1699833037
puerto colombia,10.9878,-74.9547,29.05,82,100,3.82,CO,1699833251
manaure,11.7751,-72.4445,28.64,78,100,7.31,CO,1699833251
abepura,-2.6333,140.5833,29.45,70,40,3.6,ID,1699833251
new norfolk,-42.7826,147.0587,17.62,43,17,3.45,AU,1699833251
jamestown,42.097,-79.2353,3.8,68,0,3.09,US,1699832960
toliara,-23.35,43.6667,22.04,80,0,0.52,MG,1699833252
whitehorse,60.7161,-135.0538,-2.57,79,75,3.09,CA,1699833252
sawakin,19.1059,37.3321,28.5,74,70,0.51,SD,1699833253
nieuw amsterdam,5.8833,-55.0833,27.79,83,24,5.06,SR,1699833253
port alfred,-33.5906,26.891,12.88,90,33,0.45,ZA,1699833253
kerikeri,-35.2268,173.9474,19.82,51,0,3.51,NZ,1699833253
labrador city,52.9463,-66.9114,-6.05,79,100,4.63,CA,1699833043
pesqueira,-8.3578,-36.6964,20.66,70,1,4.13,BR,1699833121
les cayes,18.2,-73.75,26.94,82,13,2.53,HT,1699833254
jayapura,-2.5333,140.7,29.66,68,64,1.68,ID,1699833254
ust-nera,64.5667,143.2,-23.98,99,100,1.01,RU,1699833254
mikun',62.3547,50.0771,-2.2,94,100,4.23,RU,1699833255
alice,27.7523,-98.0697,16.69,100,100,3.6,US,1699833255
crane,31.3974,-102.3501,14.21,74,100,4.07,US,1699833255
vorkuta,67.5,64.0,-11.48,96,40,3.7,RU,1699833256
praia da vitoria,38.7333,-27.0667,18.2,100,75,2.43,PT,1699832972
choyr,46.3611,108.3611,-14.14,75,6,0.81,MN,1699833256
isafjordur,66.0755,-23.124,1.81,83,100,1.8,IS,1699833256
cabo san lucas,22.8909,-109.9124,28.75,64,36,1.79,MX,1699833257
thompson,55.7435,-97.8558,-1.91,100,100,1.54,CA,1699833257
kataba,13.9833,44.3833,15.83,64,17,1.5,YE,1699833257
kapuskasing,49.4169,-82.4331,1.05,93,100,6.69,CA,1699833257
chernyshevskiy,63.0128,112.4714,-18.13,100,100,1.47,RU,1699833258
puerto ayora,-0.7393,-90.3518,24.75,90,51,1.79,EC,1699833258
nemuro,43.3236,145.575,4.74,52,80,5.33,JP,1699833258
prado,-17.3411,-39.2208,24.69,82,38,5.86,BR,1699833026
khalabat,34.06,72.8894,15.06,53,0,2.45,PK,1699833259
chonchi,-42.6128,-73.8092,9.56,81,92,1.45,CL,1699833259
santa ana de yacuma,-13.75,-65.4333,31.97,58,20,4.12,BO,1699833259
borogontsy,62.6683,131.1683,-18.9,98,82,2.89,RU,1699833259
alta,69.9689,23.2717,-5.41,63,16,4.63,NO,1699833259
vadso,70.0744,29.7487,-4.91,93,40,5.14,NO,1699833260
sos'va,59.1766,61.8558,1.7,90,57,2.68,RU,1699833260
grand falls-windsor,48.9332,-55.6649,-4.98,89,14,2.82,CA,1699833260
coquimbo,-29.9533,-71.3436,16.85,67,20,5.14,CL,1699833196
boguchany,58.3814,97.4531,-9.52,94,100,1.34,RU,1699833260
vila franca do campo,37.7167,-25.4333,20.23,93,100,5.86,PT,1699833087
east london,-33.0153,27.9116,14.81,68,1,4.22,ZA,1699833261
bayanaul,50.7889,75.6956,2.0,86,100,5.7,KZ,1699833261
kharp,66.8014,65.8081,-10.65,89,24,4.34,RU,1699833261
morant bay,17.8815,-76.4093,30.79,80,7,4.3,JM,1699833262
kavaratti,10.5669,72.642,27.77,75,83,1.78,IN,1699833262
adrar,20.5022,-10.0711,22.58,11,1,2.7,MR,1699833262
bridlington,54.0831,-0.1919,8.9,92,100,0.89,GB,1699833262
ilulissat,69.2167,-51.1,-11.99,61,100,0.0,GL,1699833262
vorgashor,67.5833,63.95,-11.76,97,51,3.88,RU,1699833262
atafu village,-8.5421,-172.5159,29.02,69,70,0.27,TK,1699833205
figuig (centre),32.1089,-1.2286,17.67,29,97,0.59,MA,1699833263
tarauaca,-8.1614,-70.7656,26.72,76,41,0.32,BR,1699833263
ouro sogui,15.6,-13.3167,26.01,47,0,1.03,SN,1699833264
miracatu,-24.2814,-47.4597,24.01,90,11,1.22,BR,1699833264
cururupu,-1.8283,-44.8683,23.86,84,24,1.83,BR,1699833264
oroqen zizhiqi,50.5667,123.7167,-9.09,66,10,1.67,CN,1699833264
amga,60.8953,131.9608,-15.09,93,100,3.22,RU,1699833088
dighton,41.814,-71.1203,3.35,75,0,0.45,US,1699833265
port pirie,-33.1833,138.0167,25.01,24,98,1.72,AU,1699833265
chilliwack,49.1747,-121.9443,9.32,78,100,1.79,CA,1699833266
semirom,31.4167,51.5667,8.01,48,99,0.88,IR,1699833266
anadyr,64.75,177.4833,-0.72,80,75,8.0,RU,1699832993
pont-sainte-maxence,49.3017,2.6047,13.12,88,100,5.1,FR,1699833266
hassi messaoud,31.6804,6.0729,15.92,51,0,1.03,DZ,1699832992
lebu,-37.6167,-73.65,9.31,66,2,7.24,CL,1699833266
bello,6.3373,-75.558,23.38,68,75,3.09,CO,1699833096
horta,38.5333,-28.6333,17.79,88,100,1.79,PT,1699833267
port elizabeth,-33.918,25.5701,14.62,78,21,1.79,ZA,1699833267
tavricheskoye,54.5851,73.6395,0.95,89,94,3.51,RU,1699833268
papatowai,-46.5619,169.4708,12.47,98,99,0.73,NZ,1699833268
vacaria,-28.5122,-50.9339,18.91,99,55,2.46,BR,1699833268
nianzishan,47.5167,122.8833,-8.24,76,5,1.98,CN,1699833269
mandiana,10.6333,-8.6833,26.83,38,39,1.46,GN,1699833269
south venice,27.0531,-82.4243,27.21,86,39,2.24,US,1699833269
gebeit,21.0667,36.3167,23.73,72,48,1.33,SD,1699833269
kisangani,0.5167,25.2,20.05,99,68,0.8,CD,1699833269
sona,45.4388,10.8255,5.27,100,7,2.57,IT,1699833270
ushuaia,-54.8,-68.3,10.81,50,75,5.14,AR,1699833270
morehead city,34.7229,-76.726,12.0,88,100,8.23,US,1699833270
la'ie,21.6477,-157.9253,30.98,76,29,4.02,US,1699833215
sao vicente,-23.9631,-46.3919,35.71,56,32,3.13,BR,1699833271
beau vallon,-20.4189,57.6953,21.79,94,20,2.57,MU,1699833271
vernon,50.2581,-119.2691,8.34,61,100,2.06,CA,1699833187
kirando,-7.4167,30.6,23.58,82,100,3.42,TZ,1699833271
aasiaat,68.7098,-52.8699,-14.58,84,63,1.55,GL,1699833271
vilyuchinsk,52.9306,158.4028,-0.85,70,44,2.34,RU,1699833272
mossel bay,-34.1831,22.146,12.96,78,0,1.87,ZA,1699833272
medina,24.4686,39.6142,26.24,21,0,3.09,SA,1699833272
palikir - national government center,6.9248,158.1611,29.41,79,100,1.54,FM,1699833115
uturoa,-16.7333,-151.4333,27.66,77,9,3.56,PF,1699833273
qui nhon,13.7667,109.2333,24.34,94,99,1.19,VN,1699833197
kingston,17.997,-76.7936,30.53,76,20,7.72,JM,1699833014
mar del plata,-38.0023,-57.5575,12.27,63,0,3.09,AR,1699833274
kodiak,57.79,-152.4072,4.73,56,0,2.57,US,1699833274
berezovyy,51.6667,135.7,-8.94,58,59,0.56,RU,1699833274
cradock,-32.1642,25.6192,9.92,79,0,2.01,ZA,1699833275
mangai,-4.05,19.5333,20.05,94,100,0.7,CD,1699833275
as sulayyil,20.4607,45.5779,19.14,44,18,3.42,SA,1699833276
westport,41.1415,-73.3579,4.86,67,0,2.06,US,1699833153
chinde,26.8418,88.0763,12.15,60,0,2.49,NP,1699833276
shohimardon,39.9839,71.8028,-2.57,40,5,2.24,UZ,1699833276
nantucket,41.2835,-70.0995,5.64,65,95,2.57,US,1699833277
umea,63.8284,20.2597,-2.04,93,75,4.63,SE,1699833234
al muwayh,22.4333,41.7583,21.58,42,73,5.14,SA,1699833278
saint-pierre,-21.3393,55.4781,19.82,64,0,3.6,RE,1699833077
dongcun,36.7767,121.1597,2.7,62,6,4.16,CN,1699833278
colonia,50.9333,6.95,7.08,88,40,2.57,DE,1699833278
bugana,7.9992,7.5836,26.21,68,56,1.26,NG,1699833279
arraial do cabo,-22.9661,-42.0278,24.92,83,100,2.13,BR,1699833220
altai,46.3722,96.2583,-10.48,67,33,0.63,MN,1699833187
minsk mazowiecki,52.1794,21.5725,6.79,81,78,4.75,PL,1699833279
pochinok,54.4068,32.4407,1.52,96,100,8.02,RU,1699833279
susuman,62.7833,148.1667,-31.42,98,99,0.33,RU,1699833280
kokpekty,48.75,82.4,0.88,99,100,1.68,KZ,1699833280
morondava,-20.2833,44.2833,22.81,86,0,2.65,MG,1699833280
guerrero negro,27.9769,-114.0611,23.5,33,0,5.12,MX,1699833280
kailua-kona,19.6406,-155.9956,29.6,73,40,4.12,US,1699833280
rikaze,29.25,88.8833,-3.95,20,0,1.23,CN,1699833281
fortuna,40.5982,-124.1573,17.51,66,20,0.0,US,1699833055
mahalapye,-23.1041,26.8142,25.99,34,75,5.34,BW,1699833281
luza,60.6308,47.2512,1.24,97,100,5.34,RU,1699833281
holualoa,19.6228,-155.9522,27.53,73,40,4.12,US,1699833169
manismata,-2.4667,111.0333,23.42,98,100,0.98,ID,1699833281
port lincoln,-34.7333,135.8667,16.2,68,93,5.05,AU,1699833281
hammerfest,70.6634,23.6821,-4.75,63,0,1.54,NO,1699833281
okhotsk,59.3833,143.3,-16.53,79,1,9.78,RU,1699833282
kingsford,-33.924,151.2275,20.85,66,75,7.2,AU,1699833282
agat village,13.3886,144.6585,30.53,82,20,6.17,GU,1699833282
cole harbour,44.6724,-63.4751,4.71,79,46,5.14,CA,1699833282
buritama,-21.0661,-50.1472,31.78,24,61,2.32,BR,1699833282
whakatane,-37.9585,176.9854,23.82,67,3,2.24,NZ,1699833283
saynshand,44.8824,110.1163,-9.47,65,8,2.23,MN,1699833283
kenora,49.8167,-94.4337,2.54,100,75,6.71,CA,1699833283
magistral'nyy,56.1725,107.4458,-10.91,91,99,0.84,RU,1699833283
fort mcmurray,56.7268,-111.381,2.77,69,20,4.63,CA,1699833283
dunedin,-45.8742,170.5036,20.6,45,100,0.67,NZ,1699833283
razole,16.4833,81.8333,22.22,86,86,2.23,IN,1699833283
saldanha,-33.0117,17.9442,14.03,86,0,7.94,ZA,1699833284
yerofey pavlovich,53.9667,121.9667,-9.63,58,23,0.94,RU,1699833284
bantogon,6.5333,124.0333,27.65,73,6,0.38,PH,1699833284
hotan,37.0997,79.9269,3.22,29,0,0.88,CN,1699833284
saipan,15.1355,145.701,30.39,74,20,7.2,MP,1699833284
port blair,11.6667,92.75,24.02,88,100,3.09,IN,1699833285
greenville,35.6127,-77.3663,12.02,86,100,2.06,US,1699833285
navalmoral de la mata,39.8916,-5.5406,18.31,93,93,1.55,ES,1699833285
seydi,39.4816,62.9137,6.47,39,7,4.94,TM,1699833285
san patricio,28.017,-97.5169,17.13,96,100,4.87,US,1699833240
ingeniero jacobacci,-41.3427,-69.5448,8.98,39,11,6.12,AR,1699833285
lazaro cardenas,17.9583,-102.2,27.95,78,8,2.88,MX,1699833285
zarghun shahr,32.8473,68.4457,2.24,57,2,1.17,AF,1699833286
sittwe,20.15,92.9,23.27,87,63,2.6,MM,1699833286
el porvenir,13.7617,-87.3458,24.63,76,88,2.76,HN,1699833286
san antonio,29.4241,-98.4936,15.86,93,100,3.6,US,1699833030
port hueneme,34.1478,-119.1951,28.58,30,0,3.6,US,1699833286
boli,45.7667,130.5167,-6.48,69,38,8.0,CN,1699833287
nouadhibou,20.931,-17.0347,21.99,68,0,6.69,MR,1699833287
betio village,1.358,172.9211,28.02,76,76,3.74,KI,1699833041
north bend,43.4065,-124.2243,16.07,72,100,5.66,US,1699833287
rutana,-3.8667,30.1,14.45,90,57,1.18,BI,1699833287
wajir,1.7471,40.0573,25.53,80,83,3.87,KE,1699833287
mejit,10.2753,170.8646,28.1,81,87,8.29,MH,1699833288
likasi,-10.9814,26.7333,18.32,90,100,0.74,CD,1699833288
xiantao,30.3833,113.4,7.2,60,94,4.22,CN,1699833288
shihezi,44.3,86.0333,3.98,80,100,1.88,CN,1699833288
usinsk,65.9939,57.5281,-14.96,100,71,2.24,RU,1699833050
dryden,49.7833,-92.7503,1.16,100,100,6.17,CA,1699833288
mount isa,-20.7333,139.5,32.87,33,8,3.6,AU,1699833289
rio grande,-32.035,-52.0986,17.06,90,100,3.69,BR,1699833289
iwanai,42.9744,140.5089,2.68,74,99,5.64,JP,1699833289
kesan,40.8558,26.6303,14.94,78,98,0.87,TR,1699833289
aykhal,66.0,111.5,-12.82,94,100,4.24,RU,1699833289
baardheere,2.3446,42.2764,25.48,88,72,3.29,SO,1699833289
manchester,53.4809,-2.2374,9.1,92,100,2.06,GB,1699833290
strezhevoy,60.7333,77.5889,-0.02,98,98,2.68,RU,1699833290
tshikapa,-6.4167,20.8,19.91,98,100,0.32,CD,1699833290
ubinskoye,55.3068,79.6802,2.47,99,100,1.87,RU,1699833290
yaren,-0.5472,166.916,28.38,79,96,11.44,NR,1699833290
vilcun,-38.65,-72.2333,9.41,70,32,2.02,CL,1699833290
sambava,-14.2667,50.1667,23.83,84,48,3.76,MG,1699833290
vilyuysk,63.7553,121.6247,-24.08,100,55,1.6,RU,1699833291
arteche,12.2645,125.4048,28.09,85,100,3.72,PH,1699833291
priozersk,61.0393,30.1291,3.33,87,100,8.57,RU,1699833291
emerald,-23.5333,148.1667,26.86,49,0,2.92,AU,1699833291
roquetas de mar,36.7642,-2.6148,14.0,68,0,0.74,ES,1699833291
monywa,22.1167,95.1333,20.94,84,23,2.8,MM,1699833291
cheremukhovo,60.3484,59.9851,1.09,81,99,1.34,RU,1699833292
udachny,66.4167,112.4,-11.39,95,100,3.3,RU,1699833292
maloye ganyushkino,46.6,49.2667,10.15,67,81,5.72,KZ,1699833292
el-tor,28.2364,33.6254,23.08,64,0,2.06,EG,1699833292
ontario,34.0633,-117.6509,29.6,14,40,2.57,US,1699832994
utrik,11.2278,169.8474,27.99,81,99,8.7,MH,1699833292
diego de almagro,-26.3667,-70.05,19.24,32,0,2.48,CL,1699833293
kijang,35.2442,129.2139,2.85,35,0,2.98,KR,1699833293
meschede,51.35,8.2833,4.68,91,90,2.55,DE,1699833293
ascencion,31.1,-107.9833,16.3,52,45,4.42,MX,1699833035
hohhot,40.8106,111.6522,-11.84,67,0,3.0,CN,1699833036
bardai,11.65,7.2333,22.49,25,3,3.22,NG,1699833294
lensk,60.7253,114.9278,-13.49,95,100,1.96,RU,1699833294
salym,60.0625,71.4789,-0.19,89,98,3.23,RU,1699833294
san ramon de la nueva oran,-23.1322,-64.326,26.54,78,62,1.97,AR,1699833294
kasane,-17.8167,25.15,23.32,29,24,1.09,BW,1699833294
tamanrasset,22.785,5.5228,16.95,16,0,2.57,DZ,1699833294
novo aripuana,-5.1206,-60.3797,30.07,53,96,0.13,BR,1699833295
tobelo,1.7284,128.0095,28.12,72,100,0.76,ID,1699833295
tete,-16.1564,33.5867,28.05,65,0,0.0,MZ,1699833295
huadian,42.9633,126.7478,-10.17,88,45,2.97,CN,1699833295
venev,54.3553,38.2684,3.32,96,99,9.04,RU,1699833295
kununurra,-15.7667,128.7333,29.99,79,75,3.09,AU,1699833153
walvis bay,-22.9575,14.5053,15.53,82,9,1.54,NA,1699833296
saint-augustin-de-desmaures,46.7406,-71.4513,-0.02,76,20,1.54,CA,1699833296
shahpur,16.7,76.8333,21.6,75,74,1.87,IN,1699833296
kaman,27.65,77.2667,17.85,51,5,1.11,IN,1699833297
novyye burasy,52.1324,46.0714,7.34,95,100,8.83,RU,1699833298
shimoda,34.6667,138.95,11.2,71,38,3.11,JP,1699833298
enewetak,11.3474,162.3373,26.72,88,100,8.34,MH,1699833298
guatire,10.4762,-66.5427,24.3,96,100,0.53,VE,1699833072
mount pearl,47.5166,-52.7813,-0.48,88,100,6.69,CA,1699833298
portland,45.5234,-122.6762,14.89,76,75,7.72,US,1699833240
haiku-pauwela,20.9219,-156.3051,28.01,57,20,12.35,US,1699833299
sandnessjoen,66.0217,12.6316,-5.71,68,75,6.21,NO,1699833299
san andres,12.5847,-81.7006,29.01,84,40,4.12,CO,1699833044
alindao,5.0267,21.2088,20.99,98,62,1.1,CF,1699833299
basse-terre,16.1667,-61.6667,25.88,78,20,2.06,GP,1699833300
paso de los toros,-32.8167,-56.5167,18.95,93,96,4.11,UY,1699833300
oyama,36.3,139.8,7.85,68,100,2.0,JP,1699833300
narasannapeta,18.4167,84.05,21.75,77,51,2.5,IN,1699833300
al mijlad,11.0333,27.7333,30.18,42,36,3.08,SD,1699833300
kamina,-8.7386,24.9906,17.67,98,97,1.91,CD,1699833300
maykop,44.6078,40.1058,12.51,85,100,1.65,RU,1699833301
anagni,41.7447,13.1527,12.01,57,18,2.29,IT,1699833301
uttar char fasson,22.2332,90.7132,21.8,83,29,4.27,BD,1699833301
kattivakkam,13.2167,80.3167,26.15,86,100,5.67,IN,1699833301
sanliurfa,37.2128,38.7817,13.93,50,15,1.72,TR,1699833302
coahuayana de hidalgo,18.7,-103.6583,27.64,81,32,1.12,MX,1699833302
palangkaraya,-2.2,113.8333,25.04,94,99,1.05,ID,1699833302
talas,38.6908,35.5538,4.37,70,0,1.03,TR,1699833303
igbo-ukwu,6.0167,7.0265,22.5,95,99,1.45,NG,1699833303
jiangyou,31.7667,104.7167,9.12,89,100,1.73,CN,1699833303
igarka,67.4667,86.5833,-1.74,97,100,5.19,RU,1699833010
el calafate,-50.3408,-72.2768,8.36,70,87,3.23,AR,1699833304
ta`u,-14.2336,-169.5144,27.82,79,58,4.81,AS,1699833304
belyy yar,53.6039,91.3903,-8.06,93,100,1.0,RU,1699833304
wulingyuan,29.3494,110.5441,6.58,90,100,0.76,CN,1699833305
igrim,63.1906,64.4162,-9.84,93,30,1.21,RU,1699833305
callao,-12.0667,-77.15,23.18,77,75,6.69,PE,1699833305
bulungu,-4.55,18.6,20.63,99,100,1.16,CD,1699833306
puerto el triunfo,13.2833,-88.55,27.33,82,16,1.18,SV,1699833306
codrington,-38.2667,141.9667,15.84,52,20,5.38,AU,1699833306
sitka,57.0531,-135.33,7.94,61,0,0.0,US,1699833307
gulf shores,30.246,-87.7008,20.59,76,100,3.6,US,1699833307
gaiman,-43.2897,-65.4929,13.33,21,18,0.81,AR,1699833307
guaruja,-23.9931,-46.2564,27.13,26,36,3.13,BR,1699833134
hermanus,-34.4187,19.2345,14.39,86,1,4.09,ZA,1699833308
zheleznogorsk,52.331,35.3711,3.35,96,100,9.83,RU,1699833308
minas de marcona,-15.2119,-75.1103,14.79,90,86,6.67,PE,1699833308
dzhalil',55.0239,52.7358,2.25,69,100,7.67,RU,1699833309
khanbari,27.3747,87.2039,14.13,65,0,1.87,NP,1699833309
kyabe,9.4515,18.9449,23.65,86,100,2.4,TD,1699833309
tofol,5.3248,163.0078,28.88,74,100,4.12,FM,1699833309
bargaal,11.2864,51.0773,27.04,78,55,5.92,SO,1699833310
tevriz,57.509,72.4042,1.22,98,100,2.77,RU,1699833310
arenapolis,-14.4503,-56.8461,29.64,50,94,1.84,BR,1699833310
zouerate,22.7187,-12.4521,22.74,12,0,2.81,MR,1699833310
necochea,-38.5473,-58.7368,9.76,55,72,3.65,AR,1699833311
port saint john's,-31.6229,29.5448,16.68,70,48,3.4,ZA,1699833311
tual,-5.6667,132.75,27.69,79,70,5.3,ID,1699833311
bubaque,11.2833,-15.8333,28.26,68,9,4.82,GW,1699833311
vlore,40.4667,19.4897,14.54,90,100,2.18,AL,1699833312
afaahiti,-17.75,-149.2833,28.93,80,39,2.0,PF,1699833020
tetyushi,54.9382,48.8366,3.93,89,100,10.01,RU,1699833312
manzhouli,49.6,117.4333,-11.36,87,7,2.81,CN,1699833312
robbah,33.2797,6.9098,15.8,54,0,1.51,DZ,1699833313
berdigestyakh,62.0989,126.6992,-16.44,95,100,4.01,RU,1699833313
paita,-5.0892,-81.1144,21.06,83,19,7.28,PE,1699833313
chokwe,-24.5333,32.9833,21.75,69,90,5.26,MZ,1699833313
sacramento,38.4666,-121.3177,24.21,33,0,2.57,US,1699833314
farafangana,-22.8167,47.8333,20.25,82,10,2.82,MG,1699833314
inyati,-19.6756,28.8469,21.31,27,58,4.39,ZW,1699833314
lepsy,46.235,78.9456,4.6,70,100,3.78,KZ,1699833314
quincy,42.2529,-71.0023,2.26,70,0,1.54,US,1699833315
datca,36.7378,27.6842,20.41,74,83,1.87,TR,1699833315
pauini,-7.7136,-66.9764,23.96,92,82,0.95,BR,1699833315
vega de alatorre,20.0333,-96.6333,21.49,89,100,6.38,MX,1699833316
grand-lahou,5.1367,-5.0242,25.66,91,70,3.1,CI,1699833316
taroa,8.7058,171.2275,28.34,82,81,8.16,MH,1699833316
